Id,Prediction
0,3502096.8
1,3268815.5
2,2817710.0
3,3075060.2
4,4533573.0
5,4452265.0
6,4046295.0
7,3095275.2
8,4120724.8
9,4092146.0
10,5552306.0
11,5667816.5
12,3979434.8
13,4813530.0
14,2822517.0
15,4412512.5
16,3637646.0
17,4342449.5
18,7694756.5
19,4210663.0
20,2153491.0
21,7797695.0
22,4573934.0
23,5937572.5
24,4096583.2
25,3803229.2
26,3969689.2
27,6586728.5
28,4348768.5
29,7303130.0
30,4761109.0
31,2800036.8
32,2751726.0
33,4180925.0
34,2429365.8
35,4060977.0
36,4300405.5
37,4973889.5
38,3269765.8
39,2835489.8
40,6600029.0
41,4675872.0
42,4427163.5
43,5510903.0
44,6103649.0
45,4810213.5
46,3734293.5
47,1969274.9
48,4798754.0
49,5073754.0
50,3463703.8
51,2002107.0
52,4872224.5
53,3150899.2
54,3896827.2
55,3040609.8
56,7590413.0
57,4441729.0
58,4452749.5
59,5060269.0
60,2842281.0
61,2936344.5
62,3989054.8
63,4230519.5
64,4786613.0
65,8232743.5
66,5373716.0
67,4553281.5
68,5581974.0
69,5071066.0
70,3573040.8
71,2093676.4
72,3829688.2
73,5383057.5
74,5136029.5
75,3848481.2
76,6274685.5
77,4407948.5
78,5016457.5
79,4299690.0
80,4929684.0
81,5120841.0
82,3571416.8
83,3589599.2
84,12560432.0
85,1911081.6
86,2560629.2
87,6956574.5
88,5215961.5
89,3300363.2
90,5008756.0
91,3505138.8
92,3516526.2
93,6709117.5
94,4737775.5
95,2076267.5
96,5213263.0
97,4533382.0
98,4217487.0
99,4207808.5
100,5212349.0
101,3092373.5
102,3368375.5
103,3598639.0
104,3950910.5
105,3401634.2
106,4914969.5
107,5360958.0
108,4667379.5
109,4634207.5
110,4945339.5
111,5670084.0
112,3756316.0
113,5423603.0
114,3644109.0
115,3657103.5
116,3180693.8
117,7049293.5
118,3961069.8
119,4391810.0
120,5554169.5
121,5207991.0
122,5352302.5
123,7468510.5
124,2476773.5
125,3616509.5
126,6061932.5
127,3822071.8
128,5476855.0
129,5163313.5
130,2466414.5
131,6645577.5
132,5341249.5
133,3612592.8
134,4164721.2
135,4271812.5
136,3810279.2
137,3601621.2
138,5186159.0
139,4625504.0
140,7238812.0
141,2298192.0
142,3702700.8
143,2537701.0
144,5200324.0
145,3386510.2
146,4711119.5
147,3255614.2
148,3895254.5
149,4984625.0
150,3681095.2
151,2226241.5
152,5633135.0
153,5743735.5
154,2433348.0
155,6925011.5
156,5092535.5
157,12146511.0
158,3234068.2
159,3677878.8
160,2175560.8
161,4624508.5
162,3541566.5
163,14604688.0
164,6500370.0
165,3066184.0
166,4084656.0
167,3949695.0
168,3746080.2
169,5388852.5
170,3754572.8
171,3114573.8
172,4167968.8
173,4048499.5
174,5257861.0
175,3463330.5
176,16713044.0
177,5001783.5
178,5728023.5
179,3213931.8
180,4836462.0
181,4116791.0
182,5478978.5
183,3833494.0
184,4597653.5
185,4314269.5
186,3395545.0
187,5143300.0
188,5439330.0
189,4409166.0
190,3904828.2
191,4821842.5
192,5529797.0
193,2366601.0
194,4861096.0
195,4348100.5
196,4321785.5
197,2209075.8
198,2801782.2
199,5413910.0
200,3520434.5
201,2760709.0
202,4977000.0
203,4399884.5
204,4847639.5
205,5600238.0
206,2956801.8
207,4058878.0
208,4687690.0
209,3454630.2
210,3839799.5
211,5869400.5
212,3045986.0
213,2819093.2
214,7331001.0
215,1985017.0
216,4451324.0
217,4484662.0
218,3595661.2
219,2872498.5
220,5890377.5
221,5539127.0
222,4561597.0
223,3572459.8
224,5622186.0
225,3609483.2
226,2578183.5
227,7176984.5
228,2518115.0
229,6585862.0
230,3802171.5
231,5961020.5
232,4061138.8
233,3907395.8
234,4012612.8
235,6261005.0
236,4981996.0
237,3258575.8
238,3212686.2
239,4346570.5
240,6112320.0
241,4500718.5
242,3836509.0
243,5046974.0
244,5340995.0
245,4603877.5
246,3383661.5
247,4421585.0
248,4459446.0
249,3678872.8
250,2076238.8
251,4294764.5
252,5477923.5
253,4324857.0
254,3375712.5
255,3386324.0
256,3770321.8
257,5118457.5
258,3558508.2
259,3123105.5
260,4464908.5
261,2579842.2
262,6717482.0
263,3375013.8
264,1981684.2
265,3087478.0
266,3503129.0
267,7240865.5
268,5161644.0
269,4530922.0
270,4424318.5
271,3034251.8
272,5315100.0
273,5149213.0
274,3282492.8
275,11871516.0
276,7085268.5
277,6472702.5
278,4492380.5
279,3881546.5
280,4292881.5
281,3695684.0
282,3448680.2
283,4247141.5
284,4030163.5
285,2607690.8
286,5211616.5
287,3184578.2
288,6265842.0
289,5937845.5
290,3956740.0
291,4652110.5
292,3268167.0
293,6575120.5
294,3406971.5
295,6432693.5
296,8188765.0
297,5845097.5
298,7905620.0
299,4920996.5
300,4840048.0
301,6647414.5
302,7555878.5
303,5294454.5
304,4126585.2
305,5806043.5
306,4340132.5
307,5148522.0
308,1847805.6
309,3956447.5
310,4336812.0
311,3405455.8
312,3374941.5
313,3709401.5
314,3470373.5
315,2979237.2
316,1892661.4
317,3133594.5
318,6254833.0
319,3293006.2
320,3632238.5
321,4541425.0
322,3313117.8
323,3929890.2
324,4617449.0
325,4672245.5
326,12177708.0
327,4192612.2
328,4456562.5
329,5053825.5
330,2477064.5
331,5197186.0
332,3892665.0
333,5666958.0
334,6477286.0
335,4262944.0
336,3052431.0
337,5861687.0
338,4112316.8
339,2657661.2
340,7174065.0
341,5489318.0
342,4431314.5
343,4231322.0
344,5189217.5
345,3951896.2
346,3838777.0
347,5145792.5
348,2139301.0
349,6492512.5
350,4104437.0
351,5995170.5
352,5333904.5
353,2656333.5
354,3759327.8
